ID,PLATFORM(S),GENRE(S),TITLE,PURCHASE PRICE Â£,PURCHASE DATE
49,PS4,Adventure,Red Dead Redemption,35,2022-01-01
50,PS5,Adventure,Lords Of The Fallen - Standard Edition,51,2022-01-01
51,Nintendo Switch,Platform,Sonic Superstars,55,2022-01-01
52,Nintendo Switch,Platform,Crash Bandicoot N. Sane Trilogy,22,2022-01-01
53,PS4,Adventure,Cyberpunk 2077,20,2022-01-01
54,PS5,Adventure,Electronic Arts Dead Space,35,2022-01-01
55,PS5,Role Playing,Grand Theft Auto V,18,2022-01-01
56,Nintendo Switch,Adventure,Animal Crossing: New Horizons,40,2022-01-01
57,XBOX,Role Playing,Call of Duty: Modern Warfare III,70,2022-01-01
58,PS5,Race,F1 23,39,2022-01-01
59,Nintendo Switch,Adventure,LEGO Harry Potter Collection,25,2022-01-01
60,Nintendo Switch,Platform,Miraculous: Rise of the Sphinx,25,2022-01-01
61,PC,Role Playing,Hogwarts Legacy,40,2022-01-01
62,PC,Role Playing,Super Mario Bros. Wonder (Nintendo Switch),50,2022-01-01
63,PS4,Sports,FC24,57,2022-01-01
64,PS4,Adventure,Marvels Spider-Man 2,63,2022-01-01
65,PC,Role Playing,Super Mario Bros. Wonder (Nintendo Switch),50,2022-01-01
66,PS4,Sports,FC24,57,2022-01-01
67,PS5,Sports,FC24,59,2022-01-01
68,PS5,Adventure,Assassin's Creed Mirage Launch Edition,45,2022-01-01
69,XBOX,Sports,FC24,60,2022-01-01
70,PS5,Adventure,Star Wars Jedi,39,2022-01-01
71,PS4,Adventure,Marvels Spider-Man 2,63,2022-01-01
72,PC,Role Playing,Super Mario Bros. Wonder (Nintendo Switch),50,2022-01-01
73,PS4,Sports,FC24,57,2022-01-01
74,PS5,Sports,FC24,59,2022-01-01
75,PS5,Race,F1 23,39,2022-01-01
76,Nintendo Switch,Adventure,LEGO Harry Potter Collection,25,2022-01-01
77,Nintendo Switch,Platform,Miraculous: Rise of the Sphinx,25,2022-01-01
78,PC,Role Playing,Hogwarts Legacy,40,2022-01-01
79,PC,Role Playing,Super Mario Bros. Wonder (Nintendo Switch),50,2022-01-01
80,PS4,Sports,FC24,57,2022-01-01
81,PS5,Sports,FC24,59,2022-01-01
82,PS5,Adventure,Assassin's Creed Mirage Launch Edition,45,2022-01-01
83,PS4,Adventure,Marvels Spider-Man 2,63,2022-01-01
84,PC,Role Playing,Super Mario Bros. Wonder (Nintendo Switch),50,2022-01-01
85,PS4,Sports,FC24,57,2022-01-01
86,PS5,Sports,FC24,59,2022-01-01
87,PS5,Adventure,Assassin's Creed Mirage Launch Edition,45,2022-01-01
88,XBOX,Sports,FC24,60,2022-01-01
89,PS5,Adventure,Star Wars Jedi,39,2022-01-01
90,Nintendo Switch,Sandbox,Minecraft,20,2022-01-01
91,PS4,Sports,FC24,57,2022-01-01
92,PS5,Sports,FC24,59,2022-01-01
93,PS5,Race,F1 23,39,2022-01-01
94,XBOX,Sports,FC24,60,2022-01-01
