Game ID,Rental Date,Return Date,Customer ID
     36,2023-07-08,2023-07-14,1000
     69,2022-11-23,2022-11-29,1003
     26,2022-06-08,2022-06-17,1004
     46,2022-06-07,2022-06-09,1000
     75,2023-01-05,2023-01-09,1001
     15,2022-10-06,2022-10-15,1001
     60,2023-09-18,2023-09-28,1002
     15,2022-01-30,2022-02-03,1003
     91,2022-08-11,2022-08-18,1004
     13,2022-05-29,2022-05-31,1000
     21,2022-04-13,2022-04-16,1001
      9,2023-03-14,2023-03-23,1004
     55,2022-05-15,2022-05-24,1003
     86,2022-09-17,2022-09-26,1003
     32,2022-09-02,2022-09-04,1000
     77,2022-08-21,2022-08-25,1001
     16,2022-05-23,2022-05-30,1001
     73,2023-04-06,2023-04-07,1003
     34,2023-03-26,2023-04-03,1004
     10,2022-04-04,2022-04-07,1002
     42,2023-01-15,2023-01-22,1001
     26,2022-08-14,2022-08-17,1000
     62,2023-02-28,2023-03-02,1002
     54,2023-03-21,2023-03-22,1002
     57,2022-08-23,2022-08-25,1004
     73,2023-01-26,2023-01-31,1003
     54,2022-03-23,2022-03-26,1003
     61,2022-06-29,2022-06-30,1004
     37,2022-08-03,2022-08-06,1000
     64,2022-05-13,2022-05-14,1000
     90,2023-08-08,2023-08-12,1002
     11,2023-04-28,2023-05-03,1000
      6,2022-06-21,2022-06-22,1001
     11,2022-09-04,2022-09-13,1004
     89,2022-12-10,2022-12-17,1001
     61,2022-02-02,2022-02-12,1000
     86,2023-07-21,2023-07-22,1003
     89,2022-12-15,2022-12-18,1004
     37,2023-04-28,2023-05-05,1004
      7,2022-03-25,2022-03-30,1002
     43,2023-01-30,2023-02-02,1000
     74,2022-04-02,2022-04-09,1003
     41,2022-03-21,2022-03-30,1004
     64,2022-05-22,2022-05-23,1000
     32,2022-03-19,2022-03-26,1002
     73,2023-05-01,2023-05-08,1000
      5,2023-04-03,2023-04-10,1000
     16,2023-03-11,2023-03-18,1002
     14,2023-07-22,2023-07-26,1001
     78,2023-05-05,2023-05-13,1000
     27,2023-02-22,2023-03-04,1004
     58,2022-01-05,2022-01-11,1004
     24,2022-06-12,2022-06-16,1001
     23,2022-06-30,2022-07-04,1003
     31,2023-09-10,2023-09-11,1003
      1,2022-12-07,2022-12-13,1003
     51,2022-09-10,2022-09-15,1000
     79,2023-03-31,2023-04-03,1003
     42,2022-10-03,2022-10-12,1003
     80,2022-04-10,2022-04-12,1004
     83,2023-07-26,2023-08-04,1000
     32,2022-06-21,2022-06-28,1004
     49,2023-02-03,2023-02-10,1003
     68,2022-10-21,2022-10-22,1000
     32,2022-11-14,2022-11-17,1002
     55,2023-06-07,2023-06-14,1003
     43,2023-04-28,2023-05-02,1002
     71,2022-09-27,2022-10-03,1000
     40,2023-01-03,2023-01-05,1004
     10,2022-11-18,2022-11-21,1003
     46,2022-01-22,2022-01-30,1001
      5,2022-02-21,2022-02-28,1001
     17,2023-05-28,2023-06-03,1003
     44,2023-05-10,2023-05-16,1004
     23,2023-10-05,2023-10-12,1002
     60,2023-09-25,2023-09-26,1003
     39,2023-10-12,2023-10-12,1004
      6,2023-02-06,2023-02-08,1003
     26,2022-03-08,2022-03-12,1001
     60,2023-04-18,2023-04-26,1002
     44,2023-06-11,2023-06-12,1001
     18,2022-12-07,2022-12-17,1003
     43,2022-11-16,2022-11-24,1002
     87,2022-05-11,2022-05-14,1004
     33,2023-08-18,2023-08-28,1003
     65,2022-05-17,2022-05-19,1001
     22,2022-11-26,2022-11-30,1001
     10,2022-03-20,2022-03-25,1004
     74,2023-05-01,2023-05-10,1001
     79,2023-07-10,2023-07-14,1004
     20,2022-10-08,2022-10-16,1003
     73,2022-01-23,2022-01-30,1000
     94,2022-02-14,2022-02-20,1001
     31,2023-03-21,2023-03-25,1002
     88,2023-02-13,2023-02-15,1002
     20,2022-03-15,2022-03-22,1000
     18,2022-01-08,2022-01-14,1004
     71,2022-09-29,2022-10-01,1002
     21,2022-06-04,2022-06-07,1004
     79,2023-01-05,2023-01-13,1000
     84,2022-10-29,2022-11-06,1004
     65,2022-02-12,2022-02-15,1000
     15,2022-03-01,2022-03-08,1001
     54,2023-02-22,2023-02-26,1003
     17,2022-10-11,2022-10-15,1000
     24,2023-09-18,2023-09-23,1004
     80,2022-07-19,2022-07-29,1000
     22,2023-02-01,2023-02-05,1002
     22,2022-04-22,2022-04-27,1000
     25,2023-04-03,2023-04-08,1002
     73,2023-06-19,2023-06-21,1000
     25,2022-10-23,2022-10-28,1004
     42,2022-09-24,2022-10-01,1003
      2,2023-05-27,2023-05-28,1002
     69,2022-11-26,2022-11-29,1000
      6,2022-10-25,2022-10-26,1004
      8,2023-04-15,2023-04-17,1003
     60,2022-02-16,2022-02-23,1004
     35,2022-11-13,2022-11-19,1002
     42,2022-03-03,2022-03-04,1003
     88,2022-08-12,2022-08-14,1002
     12,2022-05-17,2022-05-18,1003
     51,2022-01-10,2022-01-17,1003
     49,2022-02-05,2022-02-14,1002
     41,2022-11-15,2022-11-25,1001
     30,2022-08-29,2022-08-31,1002
      9,2023-09-07,2023-09-09,1000
     79,2022-04-27,2022-04-28,1001
     72,2022-12-26,2023-01-03,1001
     64,2022-03-12,2022-03-19,1004
      9,2023-04-01,2023-04-11,1001
     71,2023-01-13,2023-01-15,1004
     81,2023-04-25,2023-05-04,1002
     28,2022-11-28,2022-12-03,1000
     26,2022-02-16,2022-02-26,1004
      5,2022-05-02,2022-05-12,1002
     65,2022-03-11,2022-03-14,1004
     62,2022-10-02,2022-10-05,1004
     85,2022-08-21,2022-08-22,1001
     77,2023-09-10,2023-09-13,1001
     21,2022-12-18,2022-12-23,1001
     33,2022-08-01,2022-08-09,1004
     67,2022-06-21,2022-06-30,1002
     19,2022-01-28,2022-02-05,1000
     90,2023-08-19,2023-08-21,1002
     58,2022-05-23,2022-05-31,1001
     21,2023-07-04,2023-07-09,1001
     15,2023-06-11,2023-06-20,1001
     25,2023-08-12,2023-08-22,1002
     21,2022-05-29,2022-06-04,1003
     54,2023-02-24,2023-03-04,1004
     51,2023-07-16,2023-07-17,1002
     39,2023-01-03,2023-01-06,1003
     57,2023-07-27,2023-07-28,1002
     10,2022-09-16,2022-09-22,1001
     52,2022-07-27,2022-07-29,1002
     26,2022-04-13,2022-04-21,1004
     78,2023-02-18,2023-02-28,1001
     88,2022-09-28,2022-10-04,1000
     53,2022-11-10,2022-11-19,1000
     24,2022-03-20,2022-03-22,1002
     12,2023-06-30,2023-07-07,1003
     77,2022-10-10,2022-10-12,1003
     24,2023-05-07,2023-05-13,1003
     50,2023-04-06,2023-04-13,1001
     64,2022-08-28,2022-08-31,1000
     78,2022-01-26,2022-01-29,1001
     49,2022-05-24,2022-06-01,1004
     27,2022-06-04,2022-06-13,1004
     55,2022-06-26,2022-07-06,1002
     79,2022-06-21,2022-06-24,1000
     55,2022-03-09,2022-03-10,1002
     72,2023-04-02,2023-04-09,1003
     28,2023-09-22,2023-09-27,1001
     67,2023-04-12,2023-04-17,1001
     23,2022-01-03,2022-01-06,1004
      6,2022-09-17,2022-09-18,1000
     22,2022-02-09,2022-02-11,1001
     80,2022-03-22,2022-03-30,1004
     50,2023-06-30,2023-07-09,1004
     67,2023-07-05,2023-07-09,1001
     80,2023-01-06,2023-01-15,1002
     81,2022-05-23,2022-06-01,1002
     60,2022-06-09,2022-06-18,1004
     88,2023-09-09,2023-09-16,1002
     59,2023-09-06,2023-09-08,1002
     11,2022-12-03,2022-12-12,1001
     63,2023-06-22,2023-06-30,1004
     59,2022-07-29,2022-08-03,1003
     91,2022-07-08,2022-07-17,1002
     37,2022-08-01,2022-08-10,1003
     32,2022-12-22,2022-12-23,1004
     33,2022-05-17,2022-05-20,1003
     54,2022-04-27,2022-05-02,1004
     17,2023-08-20,2023-08-29,1001
     40,2022-07-05,2022-07-10,1000
      7,2023-08-04,2023-08-12,1004
     16,2022-03-08,2022-03-17,1000
     47,2023-03-10,2023-03-14,1004
      6,2023-07-20,2023-07-27,1002
     61,2022-04-17,2022-04-18,1000
     40,2022-04-23,2022-04-27,1002
     85,2023-09-22,2023-10-01,1004
     49,2023-02-26,2023-03-02,1000
     26,2022-07-22,2022-08-01,1000
     90,2022-05-28,2022-06-04,1000
     48,2022-04-17,2022-04-19,1001
     27,2023-05-17,2023-05-27,1003
     74,2022-01-26,2022-02-01,1002
     80,2022-12-12,2022-12-16,1001
     57,2023-03-08,2023-03-13,1000
      8,2022-12-17,2022-12-19,1001
     80,2023-08-17,2023-08-24,1004
     65,2023-05-21,2023-05-29,1003
     47,2022-04-02,2022-04-05,1003
     88,2022-04-21,2022-04-26,1002
     10,2022-11-08,2022-11-16,1000
     50,2023-04-05,2023-04-07,1001
      2,2023-02-07,2023-02-11,1001
     13,2023-01-15,2023-01-18,1000
     71,2022-05-29,2022-06-05,1002
     33,2022-08-04,2022-08-10,1000
      3,2023-07-25,2023-08-02,1001
     94,2023-02-12,2023-02-18,1003
     43,2022-12-01,2022-12-08,1003
     14,2023-08-19,2023-08-28,1002
     74,2023-09-27,2023-10-07,1001
     56,2022-12-24,2022-12-30,1002
     19,2023-07-17,2023-07-25,1000
     78,2023-03-22,2023-03-24,1002
     73,2022-10-25,2022-10-29,1000
     76,2022-02-01,2022-02-10,1004
     61,2022-08-28,2022-09-05,1003
     28,2022-03-18,2022-03-25,1001
      4,2022-05-16,2022-05-22,1003
     78,2022-09-26,2022-10-06,1001
     20,2023-03-01,2023-03-09,1001
     90,2023-03-29,2023-04-06,1002
     25,2022-12-11,2022-12-14,1000
     26,2023-06-03,2023-06-11,1002
     13,2022-03-02,2022-03-11,1002
      4,2023-03-30,2023-04-02,1002
     19,2023-03-18,2023-03-22,1004
     85,2023-10-09,2023-10-10,1004
     80,2022-03-05,2022-03-11,1003
     69,2022-06-26,2022-06-28,1003
     24,2022-01-08,2022-01-16,1001
     14,2022-09-04,2022-09-12,1003
     36,2023-03-05,2023-03-06,1001
     36,2023-05-23,2023-06-02,1001
     36,2022-06-19,2022-06-23,1003
     25,2022-03-15,2022-03-19,1004
     51,2023-07-08,2023-07-11,1002
     80,2022-05-18,2022-05-26,1000
      8,2022-12-11,2022-12-16,1002
     20,2022-01-06,2022-01-09,1001
     93,2022-04-16,2022-04-17,1004
      9,2022-10-22,2022-10-31,1003
     51,2023-07-24,2023-08-03,1003
     42,2023-03-11,2023-03-21,1003
     87,2023-01-07,2023-01-17,1004
     16,2023-08-30,2023-09-05,1000
     26,2022-08-16,2022-08-23,1004
     39,2023-08-02,2023-08-10,1003
     75,2023-06-29,2023-07-01,1004
     42,2022-06-23,2022-07-02,1004
     81,2022-06-28,2022-07-04,1003
